City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,altai,46.3722,96.2583,4.08,54,3,2.44,MN,2023-09-29 15:55:31
260,ascension,30.2169,-90.9001,24.0,89,20,2.57,US,2023-09-29 15:55:32
261,rikaze,29.25,88.8833,18.45,24,8,1.37,CN,2023-09-29 15:55:32
262,malango,-2.9627,119.9001,31.02,40,35,2.52,ID,2023-09-29 15:55:33
263,puerto colombia,10.9878,-74.9547,28.05,77,0,7.44,CO,2023-09-29 15:55:34
264,ocos,14.5094,-92.1933,26.78,74,100,1.26,GT,2023-09-29 15:55:34
265,lerwick,60.1545,-1.1494,13.0,86,85,7.16,GB,2023-09-29 15:55:35
266,revda,56.801,59.9303,8.63,91,98,3.79,RU,2023-09-29 15:55:36
267,aitape,-3.1374,142.3475,27.92,80,98,2.63,PG,2023-09-29 15:55:36
268,tazacorte,28.629,-17.9293,22.54,84,75,3.09,ES,2023-09-29 15:55:37
269,manokwari,-0.8667,134.0833,28.18,76,86,2.73,ID,2023-09-29 15:55:37
270,abohar,30.15,74.1833,36.45,20,0,3.31,IN,2023-09-29 15:55:38
271,paphos,34.7667,32.4167,26.88,61,0,3.6,CY,2023-09-29 15:55:39
272,balaipungut,1.05,101.2833,34.99,41,29,2.26,ID,2023-09-29 15:55:40
273,hammerfest,70.6634,23.6821,8.25,87,0,1.03,NO,2023-09-29 15:55:40
274,sanford,28.8006,-81.2731,24.95,88,40,1.34,US,2023-09-29 15:55:41
275,bayeux,-7.125,-34.9322,22.35,94,0,1.54,BR,2023-09-29 15:55:42
276,pangody,65.85,74.4859,2.01,60,69,8.15,RU,2023-09-29 15:55:42
277,alice springs,-23.7,133.8833,32.75,11,0,3.6,AU,2023-09-29 15:55:44
278,mont-laurier,46.5501,-75.4993,7.79,91,43,0.89,CA,2023-09-29 15:55:44
279,vila velha,-20.3297,-40.2925,21.97,83,75,6.69,BR,2023-09-29 15:55:45
280,micheweni,-4.9667,39.8333,26.09,80,16,5.39,TZ,2023-09-29 15:55:46
281,happy valley-goose bay,53.3168,-60.3315,11.17,71,20,4.12,CA,2023-09-29 15:55:47
282,ende,-8.8432,121.6623,30.31,52,67,2.38,ID,2023-09-29 15:55:47
283,judenburg,47.1667,14.6667,10.57,100,40,0.0,AT,2023-09-29 15:55:48
284,howard springs,-12.497,131.047,33.95,23,52,4.03,AU,2023-09-29 15:55:49
285,marka,1.7159,44.7717,28.08,74,10,6.49,SO,2023-09-29 15:55:50
286,qaqortoq,60.7167,-46.0333,1.69,76,65,1.75,GL,2023-09-29 15:55:50
287,san cristobal,7.7669,-72.225,22.1,97,99,0.8,VE,2023-09-29 15:55:51
288,port augusta,-32.5,137.7667,31.03,11,0,3.67,AU,2023-09-29 15:55:51
289,taskopru,41.5098,34.2141,18.9,66,97,1.44,TR,2023-09-29 15:55:52
290,san patricio,28.017,-97.5169,28.92,72,0,2.67,US,2023-09-29 15:55:53
291,broken hill,-31.95,141.4333,28.03,14,0,1.56,AU,2023-09-29 15:55:54
292,puerto tirol,-27.3722,-59.0821,14.49,87,0,2.06,AR,2023-09-29 15:55:54
293,flying fish cove,-10.4217,105.6791,26.82,78,100,5.66,CX,2023-09-29 15:55:55
294,tura,25.5198,90.2201,32.73,60,100,0.55,IN,2023-09-29 15:55:56
